Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749333541.4587,14:59:01.458,neutral,frown,0.195481,neutral,0.0
1749333541.4901,14:59:01.490,neutral,frown,0.195481,neutral,0.0
1749333541.5214,14:59:01.521,neutral,frown,0.195649,neutral,0.0
1749333541.5528,14:59:01.552,neutral,frown,0.195649,neutral,0.0
1749333541.5841,14:59:01.584,neutral,frown,0.195649,neutral,0.0
1749333541.6152,14:59:01.615,neutral,frown,0.195649,neutral,0.0
1749333541.6464,14:59:01.646,neutral,frown,0.214731,neutral,0.0
1749333541.6775,14:59:01.677,neutral,frown,0.214731,neutral,0.0
1749333541.7087,14:59:01.708,neutral,frown,0.214731,neutral,0.0
1749333541.74,14:59:01.740,neutral,frown,0.214731,neutral,0.0
1749333541.7711,14:59:01.771,neutral,frown,0.17888,neutral,0.0
1749333541.8025,14:59:01.802,neutral,frown,0.17888,neutral,0.0
1749333541.8338,14:59:01.833,neutral,frown,0.17888,neutral,0.0
1749333541.8652,14:59:01.865,neutral,frown,0.17888,neutral,0.0
1749333541.8965,14:59:01.896,neutral,frown,0.138719,neutral,0.0
1749333541.9278,14:59:01.927,neutral,frown,0.138719,neutral,0.0
1749333541.9592,14:59:01.959,neutral,frown,0.138719,neutral,0.0
1749333541.9903,14:59:01.990,neutral,frown,0.138719,neutral,0.0
1749333542.0215,14:59:02.021,neutral,neutral,0.0,smile,0.375293
1749333542.0526,14:59:02.052,neutral,neutral,0.0,smile,0.375293
1749333542.0837,14:59:02.083,neutral,neutral,0.0,smile,0.375293
1749333542.1149,14:59:02.114,neutral,neutral,0.0,smile,0.375293
1749333542.146,14:59:02.146,neutral,frown,0.222072,neutral,0.0
1749333542.1772,14:59:02.177,neutral,frown,0.222072,neutral,0.0
1749333542.2083,14:59:02.208,neutral,frown,0.222072,neutral,0.0
1749333542.2396,14:59:02.239,neutral,frown,0.222072,neutral,0.0
1749333542.271,14:59:02.271,neutral,frown,0.179248,neutral,0.0
1749333542.3023,14:59:02.302,neutral,frown,0.179248,neutral,0.0
1749333542.3337,14:59:02.333,neutral,frown,0.179248,neutral,0.0
1749333542.3648,14:59:02.364,neutral,frown,0.179248,neutral,0.0
1749333542.3959,14:59:02.395,neutral,frown,0.095961,neutral,0.0
1749333542.4271,14:59:02.427,neutral,frown,0.095961,neutral,0.0
1749333542.4582,14:59:02.458,neutral,frown,0.095961,neutral,0.0
1749333542.4894,14:59:02.489,neutral,frown,0.095961,neutral,0.0
1749333542.5205,14:59:02.520,neutral,frown,0.148428,neutral,0.0
1749333542.5516,14:59:02.551,neutral,frown,0.148428,neutral,0.0
1749333542.5828,14:59:02.582,neutral,frown,0.148428,neutral,0.0
1749333542.6141,14:59:02.614,neutral,frown,0.148428,neutral,0.0
1749333542.6455,14:59:02.645,neutral,frown,0.127775,neutral,0.0
1749333542.6768,14:59:02.676,neutral,frown,0.127775,neutral,0.0
1749333542.7081,14:59:02.708,neutral,frown,0.127775,neutral,0.0
1749333542.7395,14:59:02.739,neutral,frown,0.127775,neutral,0.0
1749333542.7706,14:59:02.770,neutral,frown,0.111649,neutral,0.0
1749333542.8019,14:59:02.801,neutral,frown,0.111649,neutral,0.0
1749333542.8331,14:59:02.833,neutral,frown,0.111649,neutral,0.0
1749333542.8642,14:59:02.864,neutral,frown,0.111649,neutral,0.0
1749333542.8954,14:59:02.895,neutral,frown,0.059561,neutral,0.0
1749333542.9265,14:59:02.926,neutral,frown,0.059561,neutral,0.0
1749333542.9578,14:59:02.957,neutral,frown,0.059561,neutral,0.0
1749333542.9892,14:59:02.989,neutral,frown,0.059561,neutral,0.0
1749333543.0205,14:59:03.020,neutral,frown,0.055873,neutral,0.0
1749333543.0519,14:59:03.051,neutral,frown,0.055873,neutral,0.0
1749333543.0832,14:59:03.083,neutral,frown,0.055873,neutral,0.0
