Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1749332971.0162,14:49:31.016,38,false,0.0,4309.231,4446.154,4193.846,4424.872,4316.026
1749332971.024,14:49:31.024,39,false,0.0,4317.051,4446.282,4193.59,4429.103,4306.154
1749332971.0317,14:49:31.031,40,false,0.0,4292.949,4437.821,4173.462,4439.487,4291.154
1749332971.0395,14:49:31.039,41,false,0.0,4295.385,4439.231,4180.897,4454.872,4293.462
1749332971.0473,14:49:31.047,42,false,0.0,4310.897,4440.897,4187.692,4462.051,4293.718
1749332971.0551,14:49:31.055,43,false,0.0,4304.487,4437.564,4187.308,4468.077,4289.615
1749332971.0629,14:49:31.062,44,false,0.0,4301.154,4441.795,4200.769,4478.462,4292.436
1749332971.0707,14:49:31.070,45,false,0.0,4303.333,4442.179,4200.897,4472.949,4290.256
1749332971.0785,14:49:31.078,46,false,0.0,4294.487,4440.769,4195.256,4452.821,4289.487
1749332971.0863,14:49:31.086,47,false,0.0,4295.897,4453.077,4207.821,4438.462,4301.538
1749332971.094,14:49:31.094,48,false,0.0,4307.821,4456.795,4213.462,4432.051,4307.308
1749332971.1018,14:49:31.101,49,false,0.0,4303.077,4445.897,4207.692,4428.205,4301.667
1749332971.1096,14:49:31.109,50,false,0.0,4291.282,4455.385,4204.744,4417.692,4298.462
1749332971.1174,14:49:31.117,51,false,0.0,4296.923,4475.897,4204.615,4397.821,4298.462
1749332971.1251,14:49:31.125,52,false,0.0,4309.487,4473.205,4214.487,4393.205,4300.128
1749332971.1329,14:49:31.132,53,false,0.0,4303.974,4466.41,4216.282,4406.538,4301.923
1749332971.1408,14:49:31.140,54,false,0.0,4287.949,4474.487,4203.846,4410.769,4305.385
1749332971.1486,14:49:31.148,55,false,0.0,4292.692,4481.795,4219.359,4413.205,4323.077
1749332971.1565,14:49:31.156,56,false,0.0,4314.359,4489.615,4255.128,4434.359,4345.385
1749332971.1643,14:49:31.164,57,false,0.0,4317.949,4492.051,4259.872,4458.205,4343.333
1749332971.1721,14:49:31.172,58,false,0.0,4302.436,4467.051,4227.051,4467.821,4315.641
1749332971.1799,14:49:31.179,59,false,0.0,4294.744,4443.205,4177.051,4465.385,4292.436
1749332971.1878,14:49:31.187,60,false,0.0,4302.564,4454.872,4158.462,4458.077,4301.667
1749332971.1956,14:49:31.195,61,false,0.0,4315.897,4473.59,4201.538,4454.231,4325.769
1749332971.2034,14:49:31.203,62,false,0.0,4318.718,4480.128,4235.769,4448.846,4316.282
1749332971.2112,14:49:31.211,63,false,0.0,4306.026,4486.667,4223.718,4428.974,4285.256
1749332971.2192,14:49:31.219,64,false,0.0,4300.385,4482.692,4222.051,4404.872,4285.0
1749332971.227,14:49:31.227,65,false,0.0,4307.051,4466.667,4221.154,4391.923,4300.641
1749332971.2348,14:49:31.234,66,false,0.0,4305.256,4468.205,4201.026,4385.128,4300.0
1749332971.2426,14:49:31.242,67,false,0.0,4310.128,4490.897,4224.231,4379.615,4307.821
1749332971.2505,14:49:31.250,68,false,0.0,4333.974,4503.205,4262.308,4382.308,4325.769
1749332971.2583,14:49:31.258,69,false,0.0,4334.487,4488.205,4236.282,4394.487,4324.744
1749332971.2661,14:49:31.266,70,false,0.0,4309.231,4473.462,4214.231,4409.359,4316.282
1749332971.2739,14:49:31.273,71,false,0.0,4305.128,4483.974,4239.487,4423.718,4311.538
