Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749333080.5515","14:51:20.551","3","68","1.0","83","4","4","4","2","4"
"1749333081.0509","14:51:21.050","3","68","1.0","83","4","4","4","2","4"
"1749333081.5505","14:51:21.550","3","68","1.0","83","4","4","4","2","4"
"1749333082.0508","14:51:22.050","3","68","1.0","83","4","4","4","2","4"
"1749333082.5504","14:51:22.550","3","68","1.0","83","4","4","4","2","4"
"1749333083.0502","14:51:23.050","3","68","1.0","83","4","4","4","2","4"
"1749333083.5503","14:51:23.550","3","68","1.0","83","4","4","4","2","4"
"1749333084.0502","14:51:24.050","3","68","1.0","83","4","4","4","2","4"
"1749333084.5499","14:51:24.549","3","68","1.0","83","4","4","4","2","4"
"1749333085.0501","14:51:25.050","3","68","1.0","83","4","4","4","2","4"
"1749333085.5501","14:51:25.550","3","68","1.0","83","4","4","4","2","4"
"1749333086.0498","14:51:26.049","3","68","1.0","83","4","4","4","2","4"
"1749333086.5498","14:51:26.549","3","68","1.0","83","4","4","4","2","4"
"1749333087.0494","14:51:27.049","3","68","1.0","83","4","4","4","2","4"
"1749333087.5489","14:51:27.548","3","68","1.0","83","4","4","4","2","4"
"1749333088.0489","14:51:28.048","3","68","1.0","83","4","4","4","2","4"
"1749333088.5491","14:51:28.549","3","68","1.0","83","4","4","4","2","4"
"1749333089.0486","14:51:29.048","3","68","1.0","83","4","4","4","2","4"
"1749333089.5486","14:51:29.548","3","68","1.0","83","4","4","4","2","4"
"1749333090.0488","14:51:30.048","3","68","1.0","83","4","4","4","2","4"
"1749333090.5484","14:51:30.548","3","68","1.0","83","4","4","4","2","4"
"1749333091.0482","14:51:31.048","3","68","1.0","83","4","4","4","2","4"
"1749333091.5482","14:51:31.548","3","68","1.0","83","4","4","4","2","4"
"1749333092.0475","14:51:32.047","3","68","1.0","83","4","4","4","2","4"
"1749333092.5471","14:51:32.547","3","68","1.0","83","4","4","4","2","4"
"1749333093.0475","14:51:33.047","3","68","1.0","83","4","4","4","2","4"
"1749333093.547","14:51:33.547","3","68","1.0","83","4","4","4","2","4"
"1749333094.0466","14:51:34.046","3","68","1.0","83","4","4","4","2","4"
"1749333094.5472","14:51:34.547","3","68","1.0","83","4","4","4","2","4"
